区域,市场,主题,参考内容,链接,建议优先级,备注
拉美,墨西哥,Dia de los Muertos 亡灵节,Open Treasure Chest Overflowing With Skulls,https://pngtree.com/freepng/open-treasure-chest-overflowing-with-skulls_23181100.html,P0,最接近成品概念，可直接参考
拉美,墨西哥,Dia de los Muertos 亡灵节,金色糖骷髅收藏币参考,https://www.ebay.com/itm/286467060015,P1,金色骷髅美学参考
拉美,墨西哥,Dia de los Muertos 亡灵节,Endorphina Dia de los Muertos 2老虎机,https://endorphina.com/games/dia-de-los-muertos-2,P1,已有游戏用此主题的案例
拉美,墨西哥,Dia de los Muertos 亡灵节,CT Gaming Golden Skull,https://ctgaming.com/products/games/golden-skull/,P2,参考风格
SEA,印尼,Ramadan / Lebaran 开斋节,Ramadan Eid Treasure Chest Ketupat 3D Asset,https://pngtree.com/freepng/ramadan-eid-treasure-chest-ketupat-loot-box-3d-game-asset_23880002.html,P0,Ketupat编织袋+伊斯兰几何纹样
SEA,印尼,Ramadan / Lebaran 开斋节,Islamic Gold Vector Art素材,https://www.vecteezy.com/free-vector/islamic-gold,P1,伊斯兰几何图案可提取
SEA,越南,Dragon / 龙年主题,Dragon Chest Concept Art,https://www.google.com/search?q=Dragon+Chest+Concept+Art,P0,东方龙宝箱概念，直接可用
SEA,越南,Dragon / 龙年主题,Dragon's Gold: 3-Step Challenge,https://www.google.com/search?q=Dragon%27s+Gold%3A+3-Step+Challenge,P1,龙的宝藏在游戏中的视觉呈现
SEA,越南,Dragon / 龙年主题,Golden Dragon Treasure Hoard,https://www.google.com/search?q=golden+dragon+treasure+hoard,P1,金色龙收藏品审美
通用,所有市场,Fantasy金红色宝箱基础款,Gaming Treasure Chest illustrations,https://www.shutterstock.com/search/gaming-treasure-chest?image_type=illustration,P0,地牢藏品基础款参考
通用,所有市场,Fantasy金红色宝箱基础款,2D Pixel Art Dungeon Collectables,https://itch.io/game-assets/tag-gold/tag-pixel-art,P1,像素风格藏品参考
通用,所有市场,Fantasy金红色宝箱基础款,Fantasy Golden Chest Premium Asset,https://www.google.com/search?q=fantasy+golden+treasure+chest+gemstones+glowing+3D+game+asset,P1,3D渲染风格参考
